epoch: 191629, loss: 10.42, wins per 10: 2, avg piece diff: -6.0
epoch: 191639, loss: 5.09, wins per 10: 3, avg piece diff: -5.4
epoch: 191649, loss: 11.95, wins per 10: 6, avg piece diff: 1.0
epoch: 191659, loss: 5.66, wins per 10: 3, avg piece diff: -2.2
epoch: 191669, loss: 5.06, wins per 10: 3, avg piece diff: -7.2
epoch: 191679, loss: 9.84, wins per 10: 3, avg piece diff: -3.2
epoch: 191689, loss: 12.12, wins per 10: 2, avg piece diff: -1.4
epoch: 191699, loss: 9.83, wins per 10: 3, avg piece diff: -4.6
epoch: 191709, loss: 6.31, wins per 10: 4, avg piece diff: -6.0
epoch: 191719, loss: 7.72, wins per 10: 1, avg piece diff: -7.0
epoch: 191729, loss: 4.27, wins per 10: 6, avg piece diff: -1.4
epoch: 191739, loss: 10.08, wins per 10: 1, avg piece diff: -9.0
epoch: 191749, loss: 11.71, wins per 10: 1, avg piece diff: -6.8
epoch: 191759, loss: 8.61, wins per 10: 1, avg piece diff: -7.0
epoch: 191769, loss: 11.60, wins per 10: 2, avg piece diff: -6.8
epoch: 191779, loss: 10.99, wins per 10: 5, avg piece diff: -0.4
epoch: 191789, loss: 10.49, wins per 10: 3, avg piece diff: -4.0
epoch: 191799, loss: 8.56, wins per 10: 1, avg piece diff: -13.2
epoch: 191809, loss: 5.27, wins per 10: 1, avg piece diff: -7.0
epoch: 191819, loss: 5.78, wins per 10: 3, avg piece diff: -3.8
epoch: 191829, loss: 6.75, wins per 10: 5, avg piece diff: -6.2
epoch: 191839, loss: 5.28, wins per 10: 3, avg piece diff: -8.2
epoch: 191849, loss: 6.54, wins per 10: 4, avg piece diff: -3.2
epoch: 191859, loss: 3.31, wins per 10: 3, avg piece diff: -4.4
epoch: 191869, loss: 6.87, wins per 10: 3, avg piece diff: -4.6
epoch: 191879, loss: 6.78, wins per 10: 3, avg piece diff: -6.4
epoch: 191889, loss: 4.97, wins per 10: 5, avg piece diff: -0.6
epoch: 191899, loss: 4.95, wins per 10: 2, avg piece diff: -5.4
epoch: 191909, loss: 7.17, wins per 10: 2, avg piece diff: -10.4
epoch: 191919, loss: 5.73, wins per 10: 4, avg piece diff: -7.4
epoch: 191929, loss: 3.33, wins per 10: 5, avg piece diff: -2.8
epoch: 191939, loss: 3.15, wins per 10: 6, avg piece diff: -1.6
epoch: 191949, loss: 7.60, wins per 10: 5, avg piece diff: 2.4
epoch: 191959, loss: 7.04, wins per 10: 2, avg piece diff: -8.0
epoch: 191969, loss: 6.64, wins per 10: 1, avg piece diff: -12.8
epoch: 191979, loss: 6.40, wins per 10: 3, avg piece diff: -5.8
epoch: 191989, loss: 9.41, wins per 10: 3, avg piece diff: -4.6
epoch: 191999, loss: 11.60, wins per 10: 4, avg piece diff: 2.0
epoch: 192009, loss: 2.89, wins per 10: 4, avg piece diff: -4.2
epoch: 192019, loss: 7.55, wins per 10: 1, avg piece diff: -9.6
epoch: 192029, loss: 2.81, wins per 10: 1, avg piece diff: -10.4
epoch: 192039, loss: 5.37, wins per 10: 7, avg piece diff: 2.6
epoch: 192049, loss: 4.21, wins per 10: 2, avg piece diff: -5.6
epoch: 192059, loss: 9.48, wins per 10: 1, avg piece diff: -10.4
epoch: 192069, loss: 5.11, wins per 10: 4, avg piece diff: 2.4
epoch: 192079, loss: 4.62, wins per 10: 3, avg piece diff: -5.2
epoch: 192089, loss: 6.82, wins per 10: 1, avg piece diff: -8.6
epoch: 192099, loss: 6.59, wins per 10: 2, avg piece diff: -4.4
epoch: 192109, loss: 10.30, wins per 10: 6, avg piece diff: 0.0
epoch: 192119, loss: 12.68, wins per 10: 5, avg piece diff: -1.8
epoch: 192129, loss: 5.41, wins per 10: 4, avg piece diff: -1.2
epoch: 192139, loss: 4.44, wins per 10: 4, avg piece diff: -2.2
epoch: 192149, loss: 5.21, wins per 10: 4, avg piece diff: -1.0
epoch: 192159, loss: 7.67, wins per 10: 6, avg piece diff: 0.6
epoch: 192169, loss: 3.54, wins per 10: 1, avg piece diff: -12.4
epoch: 192179, loss: 6.28, wins per 10: 3, avg piece diff: -1.4
epoch: 192189, loss: 7.12, wins per 10: 6, avg piece diff: 2.6
epoch: 192199, loss: 8.60, wins per 10: 7, avg piece diff: 8.6
epoch: 192209, loss: 4.84, wins per 10: 3, avg piece diff: -3.0
epoch: 192219, loss: 4.61, wins per 10: 1, avg piece diff: -10.6
epoch: 192229, loss: 9.21, wins per 10: 4, avg piece diff: -4.4
epoch: 192239, loss: 5.74, wins per 10: 3, avg piece diff: -3.8
epoch: 192249, loss: 5.54, wins per 10: 2, avg piece diff: -10.6
epoch: 192259, loss: 5.22, wins per 10: 3, avg piece diff: -6.6
epoch: 192269, loss: 8.36, wins per 10: 2, avg piece diff: -3.2
epoch: 192279, loss: 4.68, wins per 10: 5, avg piece diff: 1.4
epoch: 192289, loss: 8.52, wins per 10: 1, avg piece diff: -10.0
epoch: 192299, loss: 9.40, wins per 10: 3, avg piece diff: -5.4
epoch: 192309, loss: 7.14, wins per 10: 3, avg piece diff: -7.2
epoch: 192319, loss: 8.99, wins per 10: 3, avg piece diff: -3.8
epoch: 192329, loss: 9.12, wins per 10: 4, avg piece diff: -1.0
epoch: 192339, loss: 17.74, wins per 10: 2, avg piece diff: -6.0
epoch: 192349, loss: 6.08, wins per 10: 2, avg piece diff: -6.4
epoch: 192359, loss: 26.73, wins per 10: 1, avg piece diff: -8.8
epoch: 192369, loss: 8.52, wins per 10: 2, avg piece diff: -9.2
epoch: 192379, loss: 10.57, wins per 10: 1, avg piece diff: -14.0
epoch: 192389, loss: 10.13, wins per 10: 2, avg piece diff: -6.4
epoch: 192399, loss: 5.17, wins per 10: 2, avg piece diff: -7.8
epoch: 192409, loss: 4.73, wins per 10: 3, avg piece diff: -2.4
epoch: 192419, loss: 6.40, wins per 10: 2, avg piece diff: -7.0
epoch: 192429, loss: 9.83, wins per 10: 4, avg piece diff: -5.0
epoch: 192439, loss: 12.70, wins per 10: 6, avg piece diff: -1.6
epoch: 192449, loss: 10.24, wins per 10: 2, avg piece diff: -3.0
epoch: 192459, loss: 9.55, wins per 10: 4, avg piece diff: -2.4
epoch: 192469, loss: 7.71, wins per 10: 6, avg piece diff: 4.2
epoch: 192479, loss: 10.33, wins per 10: 5, avg piece diff: 3.0
epoch: 192489, loss: 10.13, wins per 10: 5, avg piece diff: -1.6
epoch: 192499, loss: 3.64, wins per 10: 4, avg piece diff: -5.8
epoch: 192509, loss: 5.27, wins per 10: 4, avg piece diff: -8.0
epoch: 192519, loss: 6.92, wins per 10: 5, avg piece diff: -1.6
epoch: 192529, loss: 9.76, wins per 10: 4, avg piece diff: 1.2
epoch: 192539, loss: 5.31, wins per 10: 3, avg piece diff: -5.8
epoch: 192549, loss: 10.61, wins per 10: 4, avg piece diff: -4.2
epoch: 192559, loss: 4.10, wins per 10: 2, avg piece diff: -9.4
epoch: 192569, loss: 5.87, wins per 10: 5, avg piece diff: -1.4
